supplier_id,name,contact_name,contact_title,phone,email,website,status,rating,notes
1,"Moon, Wilson and Robinson",Nicholas Jackson,Minerals surveyor,970.712.6099x15814,dennislaura@terry-mason.com,https://wiley-watson.info/,Active,3.77,Plant office challenge include wind.
2,Carter-Perez,Tammie Martin,Higher education careers adviser,(851)065-8998x1307,yosborne@yahoo.com,http://www.george.com/,Inactive,3.37,Final audience production memory military ever keep.
3,Smith Inc,Donna Navarro,Jewellery designer,(471)356-1013x02908,wilsonjennifer@hotmail.com,https://www.smith-hobbs.net/,Active,4.04,Boy customer rich control.
4,Lopez-Kim,Eric Nelson,Legal secretary,001-172-598-0476x396,nicolejohnson@gmail.com,https://www.little.com/,Inactive,4.46,Never play girl star.
5,Morales Ltd,Matthew Gregory,Set designer,464.899.8482x71747,lindsay19@hotmail.com,https://gomez.org/,Inactive,3.96,Congress which culture most word rate expect might.
6,"Cross, Howard and Brown",Jacob Wood,"Teacher, music",+1-576-786-8505,twilson@moore.com,https://snyder-crawford.org/,Inactive,4.35,Take doctor throughout discussion early federal.
7,Williams and Sons,Lisa Sanchez,Minerals surveyor,001-767-747-2028x48202,rebeccaguerra@stout.com,http://www.anderson.com/,Active,3.76,Both beat apply type girl.
8,"Davis, Farley and Pratt",Deborah Lee,Medical physicist,(273)642-8957,rodneybutler@abbott.info,http://www.johnston.net/,Inactive,3.64,Politics site society training call.
9,"Davis, Mccoy and King",Marissa Jones,Manufacturing systems engineer,001-734-100-8092x0863,adamsjason@gmail.com,http://floyd-schwartz.com/,Active,4.29,Bed carry race growth outside let fill defense.
10,Curtis and Sons,Robert Thompson,Copy,001-755-739-9505x4714,patrick20@martinez-kelly.info,http://www.aguilar.com/,Inactive,3.04,Ability candidate center current.
