Itinerary_ID,Sequence_Number,Route_Code,segment_FromLocation,segment_FromAddress,segment_ToLocation,segment_ToAddress,segment_via,Shipping_Method,Scheduled_Start_Time,Scheduled_End_Time,Part_Name,Quantity,Unit_Price,Line_Total,GoogleRouteDescription,GoogleRouteMainWays
6001,1,RT-CH-GND,Foxconn Shanghai Plant,"No. 200 Xiuyan Rd, Pudong, Shanghai, China",Shanghai Port,"Port Rd, Shanghai, China",,Ground,2024-10-01T05:00:00Z,2024-10-01T09:00:00Z,High-Precision Resistor,200,2.5,500.0,"{""steps"": [{""instruction"": ""Depart from plant via main industrial road"", ""distance"": ""1.5 km"", ""duration"": ""4 mins""}, {""instruction"": ""Turn onto local highway"", ""distance"": ""2.0 km"", ""duration"": ""5 mins""}, {""instruction"": ""Arrive at local port"", ""distance"": ""1.0 km"", ""duration"": ""3 mins""}]}","[""Local Highway""]"
6002,2,RT-OCEAN,Shanghai Port,"Port Rd, Shanghai, China",Hamburg Port,"Hamburg Port, Hamburg, Germany",East China Sea - Hangzhou Bay - Philippine Sea - South China Sea - Strait Of Malacca - Andaman Sea - Bay Of Bengal - Indian Ocean - Laccadive Sea - Arabian Sea - Gulf Of Aden - Red Sea - Gulf Of Suez - Suez Canal River - Suez Canal - Ismailiya Canal River - Nile River - Damietta Branch River - Mediterranean Sea - Alboran Sea - Strait Of Gibraltar - North Atlantic Ocean - Bay Of Biscay - English Channel - North Sea - Ijsselmeer Lagoon - Elbe River,Ocean,2024-10-01T09:30:00Z,2024-10-07T06:00:00Z,High-Precision Resistor,200,2.5,500.0,N/A,N/A
6003,3,RT-GND,Hamburg Port,"Hamburg Port, Hamburg, Germany",Allach Warehouse,"Krauss-Maffei-Straße 2, 80997 Munich, Germany",,Ground,2024-10-07T07:00:00Z,2024-10-07T11:00:00Z,High-Precision Resistor,200,2.5,500.0,"{""steps"": [{""instruction"": ""Merge onto A1 toward Bremen/Hannover"", ""distance"": ""11.2 km"", ""duration"": ""7 mins""}, {""instruction"": ""Continue onto A7"", ""distance"": ""123 km"", ""duration"": ""1 hr 16 mins""}, {""instruction"": ""At interchange 68-Kreuz Magdeburg, follow A14 toward Leipzig/Dresden"", ""distance"": ""107 km"", ""duration"": ""1 hr 3 mins""}, {""instruction"": ""Take A9 toward M\u00fcnchen/Erfurt"", ""distance"": ""256 km"", ""duration"": ""2 hr 32 mins""}, {""instruction"": ""Merge onto A92 toward Deggendorf/Eching-Ost"", ""distance"": ""12.7 km"", ""duration"": ""8 mins""}, {""instruction"": ""Take A99, then exit onto Dachauer Str."", ""distance"": ""4.9 km"", ""duration"": ""6 mins""}]}","[""A1"", ""A7"", ""A14"", ""A9"", ""A92"", ""A99""]"
6004,1,RT-SI-GND,Seagate Singapore HQ,"10 Fusion Drive, Singapore 138577",Singapore Port,"80 Maritime Sq, Singapore 099253",,Ground,2024-10-01T05:00:00Z,2024-10-01T09:00:00Z,Ultra-Low Power Microcontroller,50,12.0,600.0,"{""steps"": [{""instruction"": ""Depart from plant via main industrial road"", ""distance"": ""1.5 km"", ""duration"": ""4 mins""}, {""instruction"": ""Turn onto local highway"", ""distance"": ""2.0 km"", ""duration"": ""5 mins""}, {""instruction"": ""Arrive at local port"", ""distance"": ""1.0 km"", ""duration"": ""3 mins""}]}","[""Local Highway""]"
6005,2,RT-OCEAN,Singapore Port,"80 Maritime Sq, Singapore 099253",Hamburg Port,"Hamburg Port, Hamburg, Germany",South China Sea - Strait Of Malacca - Andaman Sea - Bay Of Bengal - Indian Ocean - Laccadive Sea - Arabian Sea - Gulf Of Aden - Red Sea - Gulf Of Suez - Suez Canal River - Suez Canal - Ismailiya Canal River - Nile River - Damietta Branch River - Mediterranean Sea - Alboran Sea - Strait Of Gibraltar - North Atlantic Ocean - Bay Of Biscay - English Channel - North Sea - Ijsselmeer Lagoon - Elbe River,Ocean,2024-10-01T09:30:00Z,2024-10-07T06:00:00Z,Ultra-Low Power Microcontroller,50,12.0,600.0,N/A,N/A
6006,3,RT-GND,Hamburg Port,"Hamburg Port, Hamburg, Germany",Allach Warehouse,"Krauss-Maffei-Straße 2, 80997 Munich, Germany",,Ground,2024-10-07T07:00:00Z,2024-10-07T11:00:00Z,Ultra-Low Power Microcontroller,50,12.0,600.0,"{""steps"": [{""instruction"": ""Merge onto A1 toward Bremen/Hannover"", ""distance"": ""11.2 km"", ""duration"": ""7 mins""}, {""instruction"": ""Continue onto A7"", ""distance"": ""123 km"", ""duration"": ""1 hr 16 mins""}, {""instruction"": ""At interchange 68-Kreuz Magdeburg, follow A14 toward Leipzig/Dresden"", ""distance"": ""107 km"", ""duration"": ""1 hr 3 mins""}, {""instruction"": ""Take A9 toward M\u00fcnchen/Erfurt"", ""distance"": ""256 km"", ""duration"": ""2 hr 32 mins""}, {""instruction"": ""Merge onto A92 toward Deggendorf/Eching-Ost"", ""distance"": ""12.7 km"", ""duration"": ""8 mins""}, {""instruction"": ""Take A99, then exit onto Dachauer Str."", ""distance"": ""4.9 km"", ""duration"": ""6 mins""}]}","[""A1"", ""A7"", ""A14"", ""A9"", ""A92"", ""A99""]"
6007,1,RT-TU-GND,Arçelik Istanbul Plant,"No. 25 Industrial Zone, Istanbul, Turkey",Istanbul Port,"Haydarpaşa, Istanbul, Turkey",,Ground,2024-10-01T05:00:00Z,2024-10-01T09:00:00Z,Advanced Capacitor Array,200,2.5,500.0,"{""steps"": [{""instruction"": ""Depart from plant via main industrial road"", ""distance"": ""1.5 km"", ""duration"": ""4 mins""}, {""instruction"": ""Turn onto local highway"", ""distance"": ""2.0 km"", ""duration"": ""5 mins""}, {""instruction"": ""Arrive at local port"", ""distance"": ""1.0 km"", ""duration"": ""3 mins""}]}","[""Local Highway""]"
6008,2,RT-OCEAN,Istanbul Port,"Haydarpaşa, Istanbul, Turkey",Hamburg Port,"Hamburg Port, Hamburg, Germany",Bosporus Strait - Sea Of Marmara - Dardanelles Channel - Aegean Sea - Sea Of Crete - Mediterranean Sea - Alboran Sea - Strait Of Gibraltar - North Atlantic Ocean - Bay Of Biscay - English Channel - North Sea - Ijsselmeer Lagoon - Elbe River,Ocean,2024-10-01T09:30:00Z,2024-10-07T06:00:00Z,Advanced Capacitor Array,200,2.5,500.0,N/A,N/A
6009,3,RT-GND,Hamburg Port,"Hamburg Port, Hamburg, Germany",Allach Warehouse,"Krauss-Maffei-Straße 2, 80997 Munich, Germany",,Ground,2024-10-07T07:00:00Z,2024-10-07T11:00:00Z,Advanced Capacitor Array,200,2.5,500.0,"{""steps"": [{""instruction"": ""Merge onto A1 toward Bremen/Hannover"", ""distance"": ""11.2 km"", ""duration"": ""7 mins""}, {""instruction"": ""Continue onto A7"", ""distance"": ""123 km"", ""duration"": ""1 hr 16 mins""}, {""instruction"": ""At interchange 68-Kreuz Magdeburg, follow A14 toward Leipzig/Dresden"", ""distance"": ""107 km"", ""duration"": ""1 hr 3 mins""}, {""instruction"": ""Take A9 toward M\u00fcnchen/Erfurt"", ""distance"": ""256 km"", ""duration"": ""2 hr 32 mins""}, {""instruction"": ""Merge onto A92 toward Deggendorf/Eching-Ost"", ""distance"": ""12.7 km"", ""duration"": ""8 mins""}, {""instruction"": ""Take A99, then exit onto Dachauer Str."", ""distance"": ""4.9 km"", ""duration"": ""6 mins""}]}","[""A1"", ""A7"", ""A14"", ""A9"", ""A92"", ""A99""]"
6010,1,RT-AU-GND,RØDE Microphones HQ,"200 Industrial Ave, Sydney, NSW, Australia",Sydney Port,"Sydney Harbour, Sydney, NSW, Australia",,Ground,2024-10-01T05:00:00Z,2024-10-01T09:00:00Z,Custom PCB Assembly,200,2.5,500.0,"{""steps"": [{""instruction"": ""Depart from plant via main industrial road"", ""distance"": ""1.5 km"", ""duration"": ""4 mins""}, {""instruction"": ""Turn onto local highway"", ""distance"": ""2.0 km"", ""duration"": ""5 mins""}, {""instruction"": ""Arrive at local port"", ""distance"": ""1.0 km"", ""duration"": ""3 mins""}]}","[""Local Highway""]"
